"1","RPCs for Noobs","45","1000","distributed systems","2","success"
"2","Xen and the Art of Surviving Undergraduate School","70","1003","undergraduate school","3","success"
"3","Xen and the Art of Surviving Undergraduate School","70","1002","undergraduate school","3","success"
"4","How to get a good grade in DOS in 40 minutes a day","50","1597","distributed systems","1","success"
"5","How to get a good grade in DOS in 40 minutes a day","50","1596","distributed systems","1","success"
"6","RPCs for Noobs","45","1001","distributed systems","2","success"
"7","RPCs for Noobs","45","1000","distributed systems","2","success"
"8","How to get a good grade in DOS in 40 minutes a day","50","198","distributed systems","1","success"
"9","How to get a good grade in DOS in 40 minutes a day","50","197","distributed systems","1","success"
"10","How to get a good grade in DOS in 40 minutes a day","50","196","distributed systems","1","success"
"11","Xen and the Art of Surviving Undergraduate School","120","1199","undergraduate school","3","success"
"12","Xen and the Art of Surviving Undergraduate School","120","1198","undergraduate school","3","success"
"13","Xen and the Art of Surviving Undergraduate School","120","1197","undergraduate school","3","success"
"14","RPCs for Noobs","45","3097","distributed systems","2","success"
"15","RPCs for Noobs","45","3096","distributed systems","2","success"
"16","RPCs for Noobs","45","3095","distributed systems","2","success"
"17","RPCs for Noobs","45","3094","distributed systems","2","success"
"18","RPCs for Noobs","45","3093","distributed systems","2","success"
"19","RPCs for Noobs","45","3099","distributed systems","2","success"
"20","RPCs for Noobs","45","3098","distributed systems","2","success"
"21","RPCs for Noobs","45","3097","distributed systems","2","success"
"22","RPCs for Noobs","45","3089","distributed systems","2","success"
"23","RPCs for Noobs","45","3088","distributed systems","2","success"
"24","RPCs for Noobs","45","3087","distributed systems","2","success"
"25","RPCs for Noobs","45","3093","distributed systems","2","success"
"26","Cooking for the Impatient Undergrad","65","1651","undergraduate school","4","success"
"27","Cooking for the Impatient Undergrad","65","1650","undergraduate school","4","success"
"28","Cooking for the Impatient Undergrad","65","1651","undergraduate school","4","success"
"29","Cooking for the Impatient Undergrad","65","1650","undergraduate school","4","success"
"30","RPCs for Noobs","45","3099","distributed systems","2","success"
"31","RPCs for Noobs","45","3098","distributed systems","2","success"
"32","RPCs for Noobs","45","3097","distributed systems","2","success"
"33","RPCs for Noobs","45","3096","distributed systems","2","success"
"34","RPCs for Noobs","45","3095","distributed systems","2","success"
"35","RPCs for Noobs","45","3089","distributed systems","2","success"
"36","RPCs for Noobs","45","3088","distributed systems","2","success"
"37","RPCs for Noobs","45","3087","distributed systems","2","success"
"38","RPCs for Noobs","45","3084","distributed systems","2","success"
"39","RPCs for Noobs","45","3083","distributed systems","2","success"
